CustomerID,Age,Income,SpendingScore,Gender,EducationLevel,FamilySize,MaritalStatus,TotalSpend,AvgOrderValue,Frequency,Recency,Tenure,WebVisitsPerMonth,Wines,Fruits,Meat,Fish,Sweets,Gold,WebPurchases,CatalogPurchases,StorePurchases,DealsPurchased,CampaignsAccepted,Complains,_TrueSegment
60,51,83871,16,0,5,1,0,385,82.19,5,75,7,3,377,9,494,5,1,87,1,0,3,1,1,0,Affluent Conservatives
61,19,32527,69,1,3,3,1,1526,84.16,21,22,2,10,37,32,59,8,42,4,5,1,10,6,1,0,Budget-Conscious Explorers
62,33,87445,86,0,2,3,1,1690,55.6,23,19,5,4,657,32,337,89,1,78,6,2,16,3,3,0,High-Value Trendsetters
63,59,25277,14,0,4,3,0,369,149.86,3,88,4,1,0,3,6,13,2,4,0,0,0,4,0,0,Conservative Minimizers
64,27,20839,87,0,3,1,0,1565,88.69,14,15,1,8,60,97,18,58,10,0,5,2,14,2,0,0,Budget-Conscious Explorers
65,42,30704,14,0,2,1,1,371,195.16,1,80,6,2,7,2,21,5,8,0,1,1,2,1,1,0,Conservative Minimizers
66,37,26379,12,1,4,3,1,407,106.34,3,61,9,1,19,4,39,27,12,5,0,2,0,0,0,0,Conservative Minimizers
67,42,96916,89,1,3,3,1,1552,79.01,18,6,5,9,626,23,440,9,6,98,5,8,10,2,1,0,High-Value Trendsetters
68,22,32271,95,1,5,4,1,1601,76.05,20,20,1,14,38,26,89,17,53,7,5,3,5,0,1,0,Budget-Conscious Explorers
69,41,86754,5,0,4,3,1,342,42.58,5,69,6,1,397,1,326,23,10,54,4,1,3,2,1,0,Affluent Conservatives
70,31,25101,70,0,3,1,0,1501,58.65,19,23,2,8,49,200,50,48,21,1,11,3,10,3,3,0,Budget-Conscious Explorers
71,18,24963,93,1,2,4,1,1526,62.99,15,10,1,9,57,13,97,77,26,7,6,2,14,2,0,0,Budget-Conscious Explorers
72,38,85097,12,1,4,1,1,475,112.71,10,51,8,5,330,5,369,4,5,121,3,1,5,2,3,0,Affluent Conservatives
73,26,31808,65,1,3,1,0,1442,58.79,20,24,1,8,33,12,33,8,38,18,5,1,9,0,0,0,Budget-Conscious Explorers
74,27,33985,76,0,3,3,1,1504,53.81,19,5,0,13,85,119,21,3,45,10,8,2,11,2,0,0,Budget-Conscious Explorers
75,41,101387,88,0,4,1,0,1735,100.99,12,12,4,6,395,22,427,33,15,92,10,4,9,1,4,0,High-Value Trendsetters
76,35,97194,18,1,5,2,1,367,59.74,4,60,10,1,490,7,284,9,1,94,0,1,6,0,0,0,Affluent Conservatives
77,45,36699,20,1,3,2,0,508,80.28,5,67,10,1,26,12,23,3,0,1,1,0,4,3,0,0,Conservative Minimizers
78,37,84359,82,1,5,1,1,1622,79.46,16,13,1,10,626,0,510,68,30,102,6,2,17,3,2,0,High-Value Trendsetters
79,42,98046,19,0,3,4,1,366,75.2,6,41,12,2,447,10,286,0,5,51,5,1,0,0,3,0,Affluent Conservatives
80,43,17103,14,0,4,2,1,468,155.68,4,78,6,0,0,4,40,3,12,5,2,0,1,2,0,0,Conservative Minimizers
81,38,81352,19,0,5,6,1,316,121.74,2,77,7,3,398,0,489,18,2,106,1,0,2,2,3,0,Affluent Conservatives
82,33,83922,89,0,5,1,0,1624,81.38,25,8,2,8,807,108,378,113,39,40,9,5,4,4,1,0,High-Value Trendsetters
83,31,28256,75,0,3,2,1,1595,196.01,19,20,0,12,36,57,41,32,44,13,10,4,9,4,1,0,Budget-Conscious Explorers
84,20,24132,75,1,5,1,1,1467,135.76,13,8,1,9,48,136,77,23,31,7,6,2,5,2,0,0,Budget-Conscious Explorers
85,44,15710,29,0,4,6,0,366,64.29,3,115,10,2,29,28,26,15,3,1,0,0,5,2,0,0,Conservative Minimizers
86,30,26428,67,1,3,5,1,1641,84.17,26,19,1,13,90,33,21,77,4,5,8,2,9,2,0,0,Budget-Conscious Explorers
87,41,24317,31,0,3,5,1,399,73.24,3,95,13,1,19,2,20,9,3,3,0,1,1,1,1,0,Conservative Minimizers
88,32,87870,88,1,2,3,1,1578,73.91,28,5,2,11,732,152,361,24,1,76,8,3,9,4,2,0,High-Value Trendsetters
89,45,74318,31,0,1,1,0,409,111.94,4,63,9,2,329,0,265,6,0,33,0,1,5,1,3,0,Affluent Conservatives
90,36,27119,9,0,3,2,1,420,118.33,1,62,2,3,6,16,24,5,0,5,0,0,1,0,0,0,Conservative Minimizers
91,24,17182,85,0,5,3,1,1643,119.3,16,12,4,11,82,41,20,44,40,0,9,6,9,1,1,0,Budget-Conscious Explorers
92,53,33267,15,1,4,2,1,437,328.68,6,75,5,2,18,15,9,17,1,5,3,1,0,2,0,0,Conservative Minimizers
93,45,102791,17,1,4,1,1,293,31.19,5,35,7,3,346,6,254,4,1,52,3,1,2,0,0,0,Affluent Conservatives
94,43,95861,17,0,3,1,0,336,31.82,5,63,7,4,454,4,436,15,1,73,4,2,4,2,1,0,Affluent Conservatives
95,51,22927,23,0,5,3,0,427,45.1,3,103,10,2,6,5,3,4,1,2,1,2,4,0,0,0,Conservative Minimizers
96,33,29447,17,1,3,1,0,389,83.33,4,73,6,1,26,20,21,9,1,5,0,0,1,0,0,0,Conservative Minimizers
97,38,90208,99,0,1,3,0,1653,77.68,16,13,4,6,599,21,375,3,58,68,9,3,8,2,3,0,High-Value Trendsetters
98,31,32578,71,0,4,2,1,1664,92.61,16,23,3,15,36,61,24,15,0,13,3,1,5,2,0,0,Budget-Conscious Explorers
99,27,24716,75,0,3,2,0,1573,123.21,16,15,3,7,35,90,39,23,36,13,6,6,17,2,1,0,Budget-Conscious Explorers
100,46,30097,16,0,3,2,0,416,381.07,1,60,7,3,22,51,0,3,6,2,1,2,0,1,0,0,Conservative Minimizers
101,34,100562,81,1,3,2,0,1713,82.66,31,6,4,8,671,20,278,13,34,64,12,6,13,1,5,0,High-Value Trendsetters
102,30,96188,78,0,2,1,1,1711,77.81,19,0,5,8,757,36,545,17,28,84,5,3,9,3,2,0,High-Value Trendsetters
103,31,104081,20,1,3,1,0,437,63.41,4,65,10,2,390,22,307,3,5,115,2,1,2,3,3,0,Affluent Conservatives
104,21,22473,95,1,5,4,1,1502,87.91,18,17,2,13,69,44,0,78,0,12,6,4,8,2,0,0,Budget-Conscious Explorers
105,47,98172,24,1,3,2,1,346,59.61,6,34,9,3,342,16,422,5,0,64,0,4,2,2,4,0,Affluent Conservatives
106,29,95771,86,0,1,2,1,1567,65.38,12,14,7,9,690,10,441,25,71,88,10,2,13,0,1,0,High-Value Trendsetters
107,35,82098,87,0,2,2,1,1686,87.88,26,4,4,7,755,163,412,59,6,73,12,2,10,2,5,0,High-Value Trendsetters
108,49,90609,25,1,3,1,0,361,62.19,5,46,6,2,402,34,298,3,10,99,1,2,5,2,3,0,Affluent Conservatives
109,32,77504,91,0,3,2,1,1629,71.89,22,9,3,7,589,1,461,100,30,82,9,2,7,3,4,0,High-Value Trendsetters
110,39,83981,92,1,4,2,1,1686,77.93,20,16,3,10,592,27,492,9,25,92,4,3,12,0,3,0,High-Value Trendsetters
111,40,83895,78,0,2,1,0,1652,72.26,17,6,6,8,494,9,364,2,13,130,8,4,13,1,4,0,High-Value Trendsetters
112,21,19028,82,0,4,1,1,1608,126.33,9,34,3,6,70,147,45,7,17,14,6,1,7,1,2,0,Budget-Conscious Explorers
113,22,26212,74,1,3,1,1,1530,108.21,19,35,1,15,59,55,71,136,0,10,7,6,8,1,0,0,Budget-Conscious Explorers
114,58,25553,25,0,3,2,1,426,86.14,3,56,6,1,1,13,37,9,17,3,1,0,1,4,0,0,Conservative Minimizers
115,31,82460,78,0,1,2,1,1563,59.82,18,6,5,3,940,2,464,128,41,88,8,4,9,1,3,0,High-Value Trendsetters
116,29,106391,21,1,4,2,1,434,116.49,9,45,7,4,456,9,298,5,1,69,4,1,2,1,0,0,Affluent Conservatives
117,27,28929,71,1,2,3,0,1612,92.09,28,17,2,15,53,15,36,21,41,11,2,1,6,4,0,0,Budget-Conscious Explorers
118,36,95393,79,1,2,1,1,1619,75.15,18,12,5,8,522,60,416,5,23,108,10,3,12,1,2,0,High-Value Trendsetters
119,47,90172,17,1,4,1,0,346,52.59,9,60,8,2,371,2,381,2,5,100,1,2,5,1,1,0,Affluent Conservatives
120,53,36226,24,1,3,4,0,489,131.7,4,59,10,0,5,9,9,2,6,5,2,1,2,1,0,0,Conservative Minimizers
121,37,33105,25,0,3,1,1,340,340.0,5,80,4,1,24,5,8,18,3,4,4,0,4,3,0,0,Conservative Minimizers
122,23,29729,84,1,4,2,1,1550,304.96,21,20,1,7,62,3,46,30,18,8,2,4,5,2,1,0,Budget-Conscious Explorers
123,24,35227,78,0,2,1,0,1532,83.52,15,16,1,14,60,50,58,92,93,4,11,2,4,1,0,0,Budget-Conscious Explorers
124,34,80331,75,1,2,3,1,1719,117.15,20,18,4,10,813,23,379,9,1,48,2,4,12,1,2,0,High-Value Trendsetters
125,52,81857,16,0,5,3,0,432,103.65,4,63,9,1,258,2,238,11,13,68,1,1,4,1,3,0,Affluent Conservatives
126,35,27666,73,0,4,2,0,1432,87.68,28,17,3,7,87,86,76,95,4,5,6,5,8,3,1,0,Budget-Conscious Explorers
127,32,94124,75,0,5,4,1,1723,79.36,17,16,1,8,583,9,404,174,20,85,8,4,10,2,3,0,High-Value Trendsetters
128,31,90431,77,1,4,1,1,1701,98.26,19,9,6,9,632,200,462,122,52,47,8,7,11,0,2,0,High-Value Trendsetters
129,27,33840,78,0,3,2,0,1604,76.8,14,36,1,13,64,170,58,9,31,15,10,4,9,0,1,0,Budget-Conscious Explorers
130,43,89777,18,1,4,1,0,306,59.82,6,58,9,2,453,3,279,7,1,22,2,1,3,1,1,0,Affluent Conservatives
131,50,29498,13,0,3,1,1,452,306.74,4,40,6,0,14,1,19,28,4,1,2,1,2,4,2,0,Conservative Minimizers
132,41,23040,22,1,4,5,0,542,75.38,2,62,5,0,6,61,14,3,4,2,0,0,5,6,0,0,Conservative Minimizers
133,31,73405,76,1,2,2,1,1562,88.27,23,2,4,11,581,10,624,36,21,77,9,3,12,1,3,0,High-Value Trendsetters
134,37,80108,69,1,2,1,1,1463,74.88,16,12,3,9,503,28,504,33,3,102,6,2,17,1,5,0,High-Value Trendsetters
135,28,95153,83,0,4,1,0,1637,67.79,26,12,5,8,634,64,507,3,20,103,4,4,12,6,4,0,High-Value Trendsetters
136,19,31755,82,0,4,1,1,1685,58.58,25,24,3,11,86,6,1,41,108,9,6,2,11,1,0,0,Budget-Conscious Explorers
137,40,37561,20,1,2,3,0,526,244.61,4,93,4,0,12,4,2,7,2,7,1,0,0,1,1,0,Conservative Minimizers
138,46,20517,20,0,5,1,1,339,66.23,3,89,11,1,29,1,31,3,0,3,2,1,5,1,0,0,Conservative Minimizers
139,52,29142,27,1,4,3,0,389,77.09,1,98,7,4,21,3,30,12,7,4,0,2,1,0,0,0,Conservative Minimizers
140,24,32535,69,0,2,5,0,1483,78.61,13,19,2,9,64,100,59,35,19,0,5,0,5,3,0,0,Budget-Conscious Explorers
141,21,27306,64,1,2,3,1,1617,162.81,22,13,2,9,47,195,26,13,38,0,5,1,10,2,1,0,Budget-Conscious Explorers
142,49,89494,12,1,4,3,1,350,40.82,7,69,9,4,167,4,210,17,3,81,0,0,4,3,3,0,Affluent Conservatives
143,36,30493,24,0,5,1,1,417,153.66,3,67,5,3,18,8,17,4,0,4,2,0,1,1,0,0,Conservative Minimizers
144,36,91143,81,1,5,4,1,1648,66.12,20,18,2,8,574,6,313,28,36,78,10,5,10,3,2,0,High-Value Trendsetters
145,59,39711,9,0,4,1,1,388,81.4,3,90,9,3,11,1,28,0,9,0,0,1,2,2,0,1,Conservative Minimizers
146,28,86993,86,0,1,1,1,1731,66.04,25,0,9,8,671,200,512,18,11,151,5,2,6,3,2,0,High-Value Trendsetters
147,36,78912,85,1,3,2,1,1709,58.84,23,12,4,7,589,5,610,32,18,110,15,5,15,1,3,0,High-Value Trendsetters
148,27,24523,94,1,4,1,0,1538,78.84,14,12,1,14,94,109,59,58,15,15,4,2,5,1,2,0,Budget-Conscious Explorers
149,38,85028,20,0,4,3,1,341,51.37,6,59,7,3,365,7,101,3,2,54,3,2,2,2,0,0,Affluent Conservatives
150,46,90318,26,0,3,1,0,398,51.37,6,53,11,4,465,6,273,15,1,147,2,2,9,3,1,0,Affluent Conservatives
151,52,33362,31,0,2,1,1,401,112.09,3,77,11,2,20,5,13,5,1,0,3,0,3,2,0,0,Conservative Minimizers
152,31,92367,80,0,3,2,0,1669,105.51,25,22,2,9,646,72,405,25,17,106,6,3,6,5,3,0,High-Value Trendsetters
153,34,88426,77,0,4,1,1,1657,65.03,20,14,6,9,478,77,503,105,30,67,4,2,9,2,4,0,High-Value Trendsetters
154,27,24985,78,1,5,3,0,1590,95.83,26,44,0,4,0,2,28,16,23,0,6,2,8,3,1,0,Budget-Conscious Explorers
155,38,81956,16,0,4,3,1,370,77.41,1,55,7,4,364,11,299,10,3,82,4,0,2,1,2,0,Affluent Conservatives
156,51,70310,19,1,3,4,1,437,58.9,2,47,8,0,359,8,145,5,0,111,2,1,2,2,2,0,Affluent Conservatives
157,37,81301,80,0,3,2,1,1537,82.74,18,15,3,4,718,15,581,16,22,145,6,2,11,4,1,0,High-Value Trendsetters
158,52,17682,35,0,1,6,1,385,139.24,2,73,6,0,10,3,48,14,1,0,1,1,0,3,0,0,Conservative Minimizers
159,34,90822,85,1,2,1,1,1643,79.55,22,10,4,8,628,17,417,45,23,87,5,1,9,4,2,0,High-Value Trendsetters
160,40,28639,25,0,4,1,0,440,175.11,1,69,4,2,11,0,16,6,4,2,1,0,4,2,1,0,Conservative Minimizers
161,35,87322,78,1,3,2,1,1496,59.43,25,12,7,10,480,117,341,20,11,114,6,1,5,0,2,0,High-Value Trendsetters
162,34,73545,67,1,4,3,1,1727,76.56,17,11,7,10,846,12,332,4,47,68,8,2,15,0,3,0,High-Value Trendsetters
163,41,83168,18,1,3,2,1,369,69.01,5,53,10,3,528,11,466,6,2,99,3,1,2,1,1,0,Affluent Conservatives
164,24,27280,74,1,3,1,1,1693,78.6,8,16,2,10,93,27,49,11,59,4,7,1,8,4,0,0,Budget-Conscious Explorers
165,41,25354,22,1,2,1,1,349,61.72,2,66,3,1,0,0,8,10,4,5,2,0,1,0,0,0,Conservative Minimizers
166,26,23517,72,1,5,6,0,1696,91.4,28,14,1,13,100,50,56,33,22,9,6,3,13,0,0,0,Budget-Conscious Explorers
167,40,23486,20,1,4,1,0,406,401.77,3,74,8,2,16,8,6,6,5,4,1,0,1,3,0,0,Conservative Minimizers
168,18,21072,85,1,3,2,0,1586,76.76,23,2,1,11,87,6,5,213,61,9,7,3,10,1,0,0,Budget-Conscious Explorers
169,48,97012,17,0,3,1,1,398,85.81,8,60,7,2,512,7,325,3,4,32,1,0,2,2,3,0,Affluent Conservatives
170,48,23690,23,1,2,3,0,336,41.91,9,57,8,1,7,9,11,1,4,4,2,2,3,5,0,0,Conservative Minimizers
171,24,20990,80,1,3,6,1,1632,106.94,16,11,2,9,63,80,29,43,0,7,6,3,10,1,0,0,Budget-Conscious Explorers
172,32,91074,66,1,5,1,0,1703,88.81,17,16,8,11,703,3,434,8,0,94,5,2,15,0,3,0,High-Value Trendsetters
173,28,23417,16,1,1,1,0,397,89.84,2,65,10,0,18,11,7,5,5,2,0,1,2,2,0,0,Conservative Minimizers
174,44,26525,22,0,2,1,1,407,113.0,4,61,7,2,6,3,33,9,12,0,0,0,2,0,0,0,Conservative Minimizers
175,35,83556,32,1,3,4,0,349,44.12,7,57,8,2,298,1,236,13,4,46,3,0,5,0,2,0,Affluent Conservatives
176,29,15207,75,1,3,1,0,1682,95.86,18,23,2,7,37,55,3,26,15,10,4,0,9,2,0,0,Budget-Conscious Explorers
177,40,94946,68,0,2,3,1,1660,84.6,28,17,1,6,427,7,359,4,3,85,4,3,8,3,3,0,High-Value Trendsetters
178,31,20694,84,1,2,1,0,1601,69.31,22,27,3,12,59,133,28,20,41,16,8,1,12,0,1,0,Budget-Conscious Explorers
179,34,88957,76,0,5,2,0,1608,83.33,16,3,3,11,713,28,412,6,7,90,7,4,14,2,2,0,High-Value Trendsetters
180,41,17885,21,1,4,4,0,378,117.1,1,47,7,2,35,9,55,0,2,4,1,1,1,3,0,0,Conservative Minimizers
181,26,21271,76,1,4,1,0,1667,80.1,20,19,3,15,48,55,44,28,29,15,8,3,9,3,1,0,Budget-Conscious Explorers
182,34,84374,87,0,3,1,1,1602,68.3,21,21,3,7,800,173,388,45,42,113,7,1,11,3,3,0,High-Value Trendsetters
183,31,35791,16,1,4,2,0,412,50.88,4,91,10,3,22,16,20,0,0,2,0,0,2,0,1,0,Conservative Minimizers
184,28,20957,67,1,3,1,1,1663,72.34,19,6,1,13,39,12,23,17,20,10,8,1,6,2,0,0,Budget-Conscious Explorers
185,29,94174,85,0,2,2,0,1657,94.52,24,8,5,8,710,31,259,31,21,129,8,1,10,1,1,0,High-Value Trendsetters
186,30,81942,84,0,4,4,0,1566,97.46,18,9,5,7,517,15,309,32,19,72,8,3,19,2,2,0,High-Value Trendsetters
187,39,21758,16,1,4,4,1,427,82.11,5,47,10,1,27,1,22,1,6,0,0,0,0,0,0,0,Conservative Minimizers
188,45,27957,24,0,3,3,0,347,130.16,6,120,5,0,14,47,27,0,8,1,0,1,1,2,1,0,Conservative Minimizers
189,22,24873,85,0,5,2,1,1605,103.78,8,8,1,14,64,34,21,5,22,15,1,4,11,4,1,0,Budget-Conscious Explorers
190,22,25593,76,0,2,6,0,1468,104.5,21,30,3,13,49,151,65,0,46,0,7,6,8,2,0,0,Budget-Conscious Explorers
191,33,105352,92,1,3,2,0,1622,72.96,22,13,5,8,795,48,401,0,24,107,7,6,6,2,1,0,High-Value Trendsetters
192,50,89688,12,0,3,3,1,349,57.96,7,55,7,4,497,4,254,2,1,116,2,1,2,2,4,0,Affluent Conservatives
193,27,23914,78,1,5,4,0,1622,131.23,14,15,1,4,58,9,70,0,0,3,5,2,3,2,1,0,Budget-Conscious Explorers
194,43,71412,19,0,4,2,0,443,51.28,4,67,12,4,482,8,342,1,2,60,2,2,5,3,2,0,Affluent Conservatives
195,31,95053,17,0,5,3,1,376,125.02,5,56,6,3,222,53,252,17,2,76,4,0,0,2,2,0,Affluent Conservatives
196,25,92974,76,1,3,2,1,1671,73.36,20,17,1,6,639,23,513,59,21,92,9,2,10,1,4,0,High-Value Trendsetters
197,21,24998,84,0,3,1,0,1496,132.59,14,19,1,10,103,9,31,8,38,12,9,3,8,3,1,0,Budget-Conscious Explorers
198,32,80408,88,1,4,2,1,1588,74.94,23,18,4,9,465,125,465,27,11,89,10,1,11,7,0,0,High-Value Trendsetters
199,34,87697,81,0,4,2,0,1585,87.45,32,6,1,7,609,80,503,14,4,136,10,4,6,1,2,0,High-Value Trendsetters
200,21,30121,80,0,3,3,1,1555,53.64,15,24,3,8,68,35,38,34,22,8,4,1,10,1,1,0,Budget-Conscious Explorers
201,64,13809,17,0,4,4,0,479,148.57,2,45,7,4,25,14,26,14,2,4,0,0,3,2,0,0,Conservative Minimizers
202,29,89623,82,1,5,4,1,1720,86.42,22,13,5,10,881,8,454,45,13,76,9,4,11,4,3,0,High-Value Trendsetters
203,44,78996,19,1,3,3,1,376,59.46,3,58,9,3,498,2,302,8,5,102,2,0,4,3,2,0,Affluent Conservatives
204,34,99427,85,0,2,4,0,1707,64.16,31,10,5,9,944,18,346,6,45,83,7,1,6,3,3,0,High-Value Trendsetters
205,43,99364,18,0,3,2,0,367,177.45,1,34,12,2,309,3,266,11,2,45,1,2,5,1,1,0,Affluent Conservatives
