CustomerID,Age,Income,EducationLevel,FamilySize,TotalSpend,AvgTransactionValue,HighValuePurchases,Frequency,Recency,Tenure,WebVisitsPerMonth,Wines,Fruits,Meat,Fish,Sweets,Gold,WebPurchases,CatalogPurchases,StorePurchases,DealsPurchased,CampaignsAccepted,Complains,Cluster,Persona
99,57,43740,5,3,483,62.4,2,9,91,5,5,115,17,113,3,49,0,7,1,2,0,0,0,1,💤 Inactive / At-Risk
100,60,19704,2,3,92,47.76,1,4,72,11,1,0,7,12,1,4,4,1,1,1,2,1,0,1,💤 Inactive / At-Risk
101,18,53020,4,4,966,70.04,1,8,25,3,9,19,31,45,15,9,69,3,0,3,1,0,0,1,💤 Inactive / At-Risk
102,26,69845,5,1,284,27.37,0,12,29,2,9,84,6,139,19,5,60,3,1,4,5,1,0,1,💤 Inactive / At-Risk
103,40,33292,3,3,305,26.72,1,11,31,6,8,42,5,25,6,6,0,1,0,6,0,2,0,1,💤 Inactive / At-Risk
104,54,36256,4,1,1140,258.02,2,12,24,2,3,97,4,74,9,2,10,2,0,2,1,0,0,1,💤 Inactive / At-Risk
105,55,76346,5,1,2535,129.72,5,30,2,6,8,533,27,191,51,14,88,12,0,19,1,0,0,0,🏆 Premium Loyalists
106,26,34725,3,1,386,27.28,0,10,11,2,12,93,12,73,70,44,50,2,1,9,1,0,0,1,💤 Inactive / At-Risk
107,32,37615,4,3,27,2.25,3,4,57,3,6,16,5,54,3,10,1,5,1,4,2,0,0,1,💤 Inactive / At-Risk
108,60,77685,3,1,2190,99.54,3,30,7,8,7,473,147,323,0,41,109,6,6,14,1,2,0,0,🏆 Premium Loyalists
109,41,25606,4,2,178,29.57,0,6,93,2,8,14,0,27,1,0,6,2,1,5,4,0,0,1,💤 Inactive / At-Risk
110,64,28399,4,4,53,4.54,0,5,90,6,9,32,0,53,21,0,4,2,2,4,1,1,0,1,💤 Inactive / At-Risk
111,52,43584,3,1,211,27.92,0,8,77,6,9,53,21,70,12,0,2,2,1,3,6,0,0,1,💤 Inactive / At-Risk
112,54,65440,4,3,812,76.3,3,16,87,6,5,316,7,125,3,10,26,2,3,13,1,1,0,1,💤 Inactive / At-Risk
113,30,43435,3,3,536,51.84,2,14,0,2,4,150,3,0,25,4,8,4,3,10,2,0,0,1,💤 Inactive / At-Risk
114,67,29907,2,3,34,7.94,0,3,100,5,0,14,0,24,2,20,5,0,0,1,0,0,0,1,💤 Inactive / At-Risk
115,30,38073,4,1,205,37.29,0,12,43,5,9,26,34,18,10,2,7,1,0,5,3,0,0,1,💤 Inactive / At-Risk
116,32,30896,2,1,131,23.26,1,9,41,2,4,48,14,14,4,1,3,4,2,3,1,0,0,1,💤 Inactive / At-Risk
117,22,48958,2,1,644,54.44,2,17,54,0,10,88,2,72,52,1,50,6,4,5,1,0,0,1,💤 Inactive / At-Risk
118,23,21480,4,1,558,55.78,2,17,56,1,6,9,167,80,34,18,24,3,1,10,0,0,0,1,💤 Inactive / At-Risk
119,32,39632,3,1,201,48.61,0,10,65,3,9,25,0,55,2,5,2,3,0,6,2,1,0,1,💤 Inactive / At-Risk
120,40,51477,2,3,525,44.06,1,9,36,3,3,197,7,116,15,11,19,9,1,4,1,1,0,1,💤 Inactive / At-Risk
121,28,39497,4,1,51,21.56,0,2,97,2,1,23,2,24,2,4,0,0,0,1,1,0,0,1,💤 Inactive / At-Risk
122,33,42981,3,1,541,51.86,3,19,47,3,10,17,12,56,48,16,48,6,2,8,0,0,0,1,💤 Inactive / At-Risk
123,21,56457,3,3,461,29.11,2,16,47,2,6,104,29,6,25,14,63,7,0,5,0,0,0,1,💤 Inactive / At-Risk
124,38,26169,5,5,220,40.53,2,9,55,5,9,20,12,36,0,4,2,5,1,9,2,0,0,1,💤 Inactive / At-Risk
125,27,47542,3,1,183,13.09,0,10,64,2,7,37,11,12,4,9,9,3,2,1,2,0,0,1,💤 Inactive / At-Risk
126,62,38651,3,1,641,37.5,5,6,67,7,4,169,5,193,0,90,20,4,1,6,0,1,0,1,💤 Inactive / At-Risk
127,36,35324,3,2,130,19.24,0,5,73,2,7,51,4,57,11,0,4,4,2,3,4,0,0,1,💤 Inactive / At-Risk
128,29,41029,2,2,508,32.33,1,13,34,2,8,108,8,49,15,5,36,4,3,8,1,0,0,1,💤 Inactive / At-Risk
129,34,33883,2,3,671,44.52,3,12,32,2,9,137,3,33,0,9,57,4,6,11,0,0,0,1,💤 Inactive / At-Risk
130,33,29751,2,3,197,33.12,0,6,44,3,4,8,12,41,0,14,2,4,2,3,4,0,0,1,💤 Inactive / At-Risk
131,36,44559,5,2,84,39.57,0,2,88,4,2,20,6,34,11,0,1,3,1,1,2,0,0,1,💤 Inactive / At-Risk
132,61,55124,2,2,62,12.62,1,4,92,5,0,6,2,14,1,1,1,1,1,3,0,0,0,1,💤 Inactive / At-Risk
133,38,47466,3,3,108,15.48,1,6,55,3,5,20,1,58,7,4,3,1,0,2,2,0,0,1,💤 Inactive / At-Risk
134,24,25393,4,3,352,78.32,1,6,31,4,12,63,15,44,2,5,4,5,0,3,1,0,0,1,💤 Inactive / At-Risk
135,29,40416,2,2,756,48.09,1,7,41,0,6,26,15,45,3,9,6,10,1,8,0,1,0,1,💤 Inactive / At-Risk
136,45,75914,4,1,1303,117.11,2,4,40,4,1,188,5,223,1,12,40,1,2,3,1,1,0,1,💤 Inactive / At-Risk
137,32,45800,2,1,54,54.0,1,7,81,6,1,15,0,25,4,1,0,1,1,0,0,1,0,1,💤 Inactive / At-Risk
138,45,50179,3,1,67,17.27,0,4,49,10,1,0,0,21,3,5,3,0,1,1,2,0,0,1,💤 Inactive / At-Risk
139,62,55222,3,1,1063,245.86,4,10,47,3,2,217,142,77,10,0,18,7,1,1,3,0,0,1,💤 Inactive / At-Risk
140,58,56847,2,3,1127,75.35,1,7,72,5,1,143,23,106,13,4,35,3,0,6,2,0,0,1,💤 Inactive / At-Risk
141,52,67784,3,2,582,64.38,2,10,38,5,4,47,48,76,15,29,27,2,4,6,1,0,0,1,💤 Inactive / At-Risk
142,59,39234,3,6,10,1.02,0,7,78,4,8,0,15,31,10,16,4,3,1,5,2,2,0,1,💤 Inactive / At-Risk
143,38,44377,4,1,617,36.02,2,13,0,10,4,317,37,78,3,8,40,3,2,4,0,0,0,1,💤 Inactive / At-Risk
144,25,56259,3,1,544,57.78,4,16,30,0,12,32,26,71,0,1,64,7,2,7,1,0,0,1,💤 Inactive / At-Risk
145,53,47466,3,2,689,52.88,1,10,20,8,3,219,4,171,40,27,37,1,1,1,1,1,0,1,💤 Inactive / At-Risk
146,33,45192,5,3,158,28.07,1,1,33,6,7,40,1,55,1,2,8,3,0,5,2,0,0,1,💤 Inactive / At-Risk
147,33,26642,5,1,212,21.66,1,7,31,6,4,32,5,4,1,2,5,3,2,2,0,1,0,1,💤 Inactive / At-Risk
148,53,66546,2,3,617,178.86,0,12,52,1,6,225,11,247,12,19,38,2,2,5,1,1,0,1,💤 Inactive / At-Risk
149,37,66834,3,2,2046,132.38,6,22,14,7,3,870,37,461,37,64,8,8,4,11,0,1,0,0,🏆 Premium Loyalists
150,54,115911,3,1,1683,54.89,2,21,12,9,7,549,29,335,23,59,106,8,2,16,0,2,0,0,🏆 Premium Loyalists
151,52,46611,5,1,355,118.89,3,3,42,4,5,91,32,101,17,97,15,2,2,6,0,0,0,1,💤 Inactive / At-Risk
152,25,59687,2,4,992,81.81,2,5,43,3,9,58,9,58,25,21,36,6,0,12,0,0,0,1,💤 Inactive / At-Risk
153,39,16311,2,1,273,25.79,1,10,65,5,3,40,2,40,4,0,5,6,0,5,2,0,0,1,💤 Inactive / At-Risk
154,33,32150,3,3,523,37.71,2,14,69,1,10,13,22,21,5,27,30,5,1,7,1,0,0,1,💤 Inactive / At-Risk
155,50,45848,2,3,157,17.87,5,11,52,5,15,30,13,52,0,9,5,4,0,3,2,0,0,1,💤 Inactive / At-Risk
156,63,86111,3,2,2232,128.25,7,23,17,9,8,755,30,389,66,29,112,8,5,10,1,1,0,0,🏆 Premium Loyalists
157,34,29693,4,2,158,21.62,0,3,41,2,5,34,0,56,28,2,4,4,2,7,3,0,0,1,💤 Inactive / At-Risk
158,49,58900,4,1,220,21.15,2,2,37,6,6,349,3,195,1,25,11,8,1,4,2,0,0,1,💤 Inactive / At-Risk
159,48,34666,3,2,140,19.34,0,8,44,1,4,39,0,46,6,6,1,7,1,2,3,0,0,1,💤 Inactive / At-Risk
160,65,64775,3,3,426,186.04,1,9,64,3,5,261,15,87,24,36,6,3,0,5,0,1,0,1,💤 Inactive / At-Risk
161,42,39705,4,4,185,15.76,1,5,30,0,7,6,12,24,4,1,6,2,3,4,3,1,0,1,💤 Inactive / At-Risk
162,31,36862,1,1,554,42.01,0,13,26,0,11,8,11,80,12,24,22,6,0,9,4,0,0,1,💤 Inactive / At-Risk
163,44,92716,2,1,1508,73.48,7,24,24,7,5,652,47,204,26,29,58,7,4,6,0,1,0,0,🏆 Premium Loyalists
164,24,41457,1,1,215,19.27,1,12,29,2,7,169,2,30,49,1,11,6,0,8,0,0,0,1,💤 Inactive / At-Risk
165,31,15000,5,2,36,16.77,0,1,68,8,1,12,4,19,5,1,1,2,2,2,0,1,0,1,💤 Inactive / At-Risk
166,64,64892,4,3,419,29.15,1,12,50,5,1,161,27,120,1,1,12,5,2,8,0,0,0,1,💤 Inactive / At-Risk
167,26,27378,4,1,76,16.06,0,1,95,8,2,9,8,8,7,2,1,1,0,0,1,0,0,1,💤 Inactive / At-Risk
168,36,47495,5,1,802,80.61,2,9,29,5,4,221,24,120,4,9,17,8,0,7,1,1,0,1,💤 Inactive / At-Risk
169,58,84246,3,3,1995,93.76,5,24,6,6,6,520,200,534,21,5,109,3,3,18,1,1,0,0,🏆 Premium Loyalists
170,80,33451,4,2,0,0.0,2,4,67,6,2,16,5,0,19,12,0,1,2,2,1,0,0,1,💤 Inactive / At-Risk
171,28,51697,2,1,355,37.44,2,10,41,2,10,96,22,89,73,11,50,6,1,11,1,1,0,1,💤 Inactive / At-Risk
172,37,36297,3,1,153,17.86,0,7,44,4,8,18,12,18,5,3,11,1,1,2,4,0,0,1,💤 Inactive / At-Risk
173,51,48423,3,2,38,13.17,1,2,84,6,3,8,2,15,12,1,3,1,1,1,0,1,0,1,💤 Inactive / At-Risk
174,43,32082,4,3,3,1.68,1,5,92,7,0,0,8,19,9,1,0,0,0,1,0,1,0,1,💤 Inactive / At-Risk
175,40,30066,3,2,276,23.78,0,3,43,4,5,37,2,58,6,6,6,6,0,4,0,0,0,1,💤 Inactive / At-Risk
176,54,46251,4,2,1259,112.26,1,10,19,9,5,311,19,201,73,5,2,4,0,4,0,1,0,1,💤 Inactive / At-Risk
177,24,24522,3,1,236,155.54,2,6,40,4,2,35,2,15,1,5,3,1,1,5,2,0,0,1,💤 Inactive / At-Risk
178,50,55667,3,6,577,60.71,2,8,58,4,5,206,14,127,4,79,19,2,4,3,1,0,0,1,💤 Inactive / At-Risk
179,37,38162,2,1,628,71.89,1,14,26,0,9,53,21,33,4,23,0,4,2,6,1,1,0,1,💤 Inactive / At-Risk
180,41,43369,5,3,1297,148.83,2,4,36,6,4,230,15,213,1,21,26,4,1,4,0,0,0,1,💤 Inactive / At-Risk
181,59,42978,4,1,607,57.81,3,13,46,8,0,301,14,19,11,4,9,4,2,6,0,0,0,1,💤 Inactive / At-Risk
182,43,41070,3,1,169,18.14,0,7,57,3,10,39,20,14,18,0,4,2,2,4,2,0,0,1,💤 Inactive / At-Risk
183,53,40941,3,3,94,94.0,0,4,112,4,2,7,2,0,0,9,5,1,0,2,1,0,0,1,💤 Inactive / At-Risk
184,27,35135,5,1,502,28.88,0,12,30,1,13,133,15,77,51,30,17,4,1,6,0,0,0,1,💤 Inactive / At-Risk
185,28,58724,5,6,778,106.77,2,9,22,2,10,87,4,42,49,26,33,4,2,7,0,0,0,1,💤 Inactive / At-Risk
186,57,26656,4,2,174,36.34,0,8,58,2,11,37,4,17,9,3,0,3,1,2,1,0,0,1,💤 Inactive / At-Risk
187,32,56216,2,1,96,17.86,2,1,101,4,1,17,0,32,3,1,1,0,0,1,1,0,0,1,💤 Inactive / At-Risk
188,27,76016,2,1,1107,76.26,3,3,43,2,9,318,46,54,41,14,19,5,1,8,1,1,0,1,💤 Inactive / At-Risk
189,28,43717,3,1,408,17.87,0,14,10,0,10,125,24,54,27,0,9,9,2,6,2,0,0,1,💤 Inactive / At-Risk
190,50,66178,5,2,534,500.0,3,5,56,2,5,225,22,250,0,32,16,1,0,8,0,1,0,1,💤 Inactive / At-Risk
191,28,39372,3,1,227,25.97,1,5,56,2,2,48,4,0,7,2,3,1,0,4,2,2,0,1,💤 Inactive / At-Risk
192,62,85276,3,2,2455,93.51,5,17,18,10,7,573,48,457,53,20,126,10,4,9,1,1,0,0,🏆 Premium Loyalists
193,45,71198,1,2,625,38.89,3,11,88,7,2,242,20,258,9,34,11,1,1,5,0,1,0,1,💤 Inactive / At-Risk
194,47,60077,4,2,1696,72.52,6,22,6,6,6,450,7,325,87,0,70,10,2,9,0,0,0,0,🏆 Premium Loyalists
195,23,81798,5,1,651,31.06,5,19,26,9,6,702,6,248,62,63,70,5,4,9,2,2,0,0,🏆 Premium Loyalists
196,26,32348,4,1,0,0.0,1,13,76,1,3,24,10,38,1,2,8,1,0,2,2,0,0,1,💤 Inactive / At-Risk
197,24,29509,4,1,429,27.21,1,4,32,1,7,39,2,53,22,39,43,6,3,6,0,0,0,1,💤 Inactive / At-Risk
198,28,45075,5,1,667,56.16,2,14,20,2,12,0,11,88,23,8,26,3,0,7,3,0,0,1,💤 Inactive / At-Risk
199,30,39020,3,2,352,63.99,1,7,84,4,9,2,3,79,6,1,3,1,0,5,2,0,0,1,💤 Inactive / At-Risk
200,45,67808,3,2,574,57.64,0,11,33,0,4,176,32,147,10,9,1,4,2,1,0,2,0,1,💤 Inactive / At-Risk
201,69,48698,4,1,121,109.31,1,3,74,9,1,11,13,24,18,0,2,0,0,0,1,1,0,1,💤 Inactive / At-Risk
202,34,39618,3,1,193,22.66,0,2,83,6,6,40,47,32,7,0,4,3,0,4,1,0,0,1,💤 Inactive / At-Risk
203,49,105503,4,1,1556,61.68,5,21,19,6,5,677,142,423,36,13,89,12,2,12,1,0,0,0,🏆 Premium Loyalists
204,40,25750,3,2,88,12.7,2,10,55,0,5,9,12,14,7,7,0,2,1,3,3,1,0,1,💤 Inactive / At-Risk
